;-3;-2;-1;0;1;2;3
0,5;1,10;1,10;1,10;1,10;1,00;1,10;1,00
0,6;1,20;1,10;1,30;1,40;1,10;1,10;1,30
0,7;1,30;1,10;1,20;1,20;1,30;1,30;1,20
0,8;1,20;1,20;1,20;1,20;1,40;1,40;1,20
0,9;1,20;1,20;1,40;1,30;1,20;1,30;1,30
1,0;1,30;1,30;1,20;1,40;1,50;1,60;1,30
1,1;1,20;1,30;1,40;1,40;1,40;1,40;1,40
1,2;1,50;1,20;1,40;1,30;1,60;1,50;1,30
1,3;1,60;1,10;1,20;1,30;1,40;1,40;1,50
1,4;1,50;1,10;1,40;1,40;1,30;1,40;1,30
1,5;1,20;1,20;1,50;1,30;1,60;1,50;1,40
1,6;1,30;1,20;1,30;1,30;1,40;1,60;1,50
1,7;1,30;1,20;1,40;1,60;1,40;1,50;1,40
1,8;1,20;1,20;1,00;1,40;1,50;1,60;1,40
